id;start_date;end_date;language
1;2019-10-23T04:41:54;2019-10-22T21:50:12;FRENCH
2;2019-10-23T06:12:00;2019-10-22T15:18:10;SPANISH
3;2019-10-23T01:44:04;2019-10-22T17:08:05;ENGLISH
4;2019-10-22T14:55:56;2019-10-22T22:22:57;ENGLISH
5;2019-10-22T23:54:35;2019-10-23T04:38:44;ENGLISH
6;2019-10-23T06:11:35;2019-10-23T07:28:32;SPANISH
7;2019-10-22T15:33:55;2019-10-23T04:14:42;FRENCH
8;2019-10-22T13:05:14;2019-10-22T21:05:23;FRENCH
9;2019-10-22T22:53:20;2019-10-23T07:17:58;ENGLISH
10;2019-10-23T02:11:29;2019-10-22T23:27:44;ENGLISH
